OrderNumber,SalesChannel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,OrderQuantity,DiscountApplied,UnitCost,UnitPrice,TotalRevenue,TotalCost,Profit,DiscountedRevenue
"SO - 000667",Distributor,WARE-NMK1003,2010-04-18,2018-08-05,2018-08-27,2018-09-05,USD,25,10,152,9,5,0.05,461.3,904.5,4522.5,2306.5,2216,4296.38
"SO - 000668",Online,WARE-NMK1003,2010-04-18,2018-08-05,2018-08-15,2018-08-23,USD,18,25,188,29,8,0.15,158.66,247.9,1983.2,1269.28,713.92,1685.72
"SO - 000681",In-Store,WARE-PUJ1005,2010-04-18,2018-08-07,2018-08-18,2018-08-28,USD,7,39,265,4,7,0.05,136.01,194.3,1360.1,952.07,408.03,1292.09
"SO - 000684",In-Store,WARE-NBV1002,2010-04-18,2018-08-07,2018-08-19,2018-08-23,USD,10,38,71,27,3,0.2,591.74,857.6,2572.8,1775.22,797.58,2058.24
"SO - 000689",In-Store,WARE-PUJ1005,2010-04-18,2018-08-08,2018-08-16,2018-08-17,USD,4,14,301,8,4,0.1,566.02,884.4,3537.6,2264.08,1273.52,3183.84
"SO - 000690",In-Store,WARE-NBV1002,2010-04-18,2018-08-08,2018-08-21,2018-08-31,USD,8,5,81,4,5,0.075,382.7,683.4,3417,1913.5,1503.5,3160.72
"SO - 000694",In-Store,WARE-NMK1003,2010-04-18,2018-08-08,2018-08-25,2018-09-02,USD,5,16,95,41,6,0.1,525.55,991.6,5949.6,3153.3,2796.3,5354.64
"SO - 000700",In-Store,WARE-NMK1003,2010-04-18,2018-08-08,2018-08-10,2018-08-15,USD,2,4,114,4,7,0.15,462.9,944.7,6612.9,3240.3,3372.6,5620.96
"SO - 000703",Wholesale,WARE-MKL1006,2010-04-18,2018-08-09,2018-08-15,2018-08-25,USD,27,30,329,40,4,0.1,91.32,194.3,777.2,365.28,411.92,699.48
"SO - 000706",In-Store,WARE-UHY1004,2010-04-18,2018-08-09,2018-09-06,2018-09-07,USD,1,7,204,37,6,0.1,772.98,931.3,5587.8,4637.88,949.92,5029.02
"SO - 000708",Distributor,WARE-NBV1002,2010-04-18,2018-08-09,2018-08-25,2018-08-27,USD,23,39,75,8,3,0.4,96.15,234.5,703.5,288.45,415.05,422.1
"SO - 000712",In-Store,WARE-XYS1001,2010-04-18,2018-08-10,2018-08-23,2018-09-02,USD,7,28,23,19,3,0.05,460.63,837.5,2512.5,1381.89,1130.61,2386.88
"SO - 000720",Online,WARE-PUJ1005,2010-04-18,2018-08-11,2018-08-23,2018-09-01,USD,16,36,283,23,8,0.15,575.13,991.6,7932.8,4601.04,3331.76,6742.88
"SO - 000723",In-Store,WARE-NMK1003,2010-04-18,2018-08-11,2018-09-01,2018-09-07,USD,10,13,201,11,4,0.15,469.2,998.3,3993.2,1876.8,2116.4,3394.22
"SO - 000729",In-Store,WARE-XYS1001,2010-04-18,2018-08-12,2018-08-29,2018-08-30,USD,5,18,44,15,1,0.1,201.13,254.6,254.6,201.13,53.47,229.14
"SO - 000738",In-Store,WARE-NBV1002,2010-04-18,2018-08-13,2018-09-04,2018-09-13,USD,1,8,64,38,3,0.05,150.15,180.9,542.7,450.45,92.25,515.57
"SO - 000741",In-Store,WARE-MKL1006,2010-04-18,2018-08-13,2018-09-01,2018-09-09,USD,6,5,360,17,5,0.05,691.44,864.3,4321.5,3457.2,864.3,4105.42
"SO - 000745",Online,WARE-PUJ1005,2010-04-18,2018-08-13,2018-09-05,2018-09-09,USD,13,22,313,11,8,0.1,404.81,763.8,6110.4,3238.48,2871.92,5499.36
